gene,p_model,coef_log_constraint,p_log_constraint,coef_log_pathogenicity,p_log_pathogenicity,coef_pLoF_indicator,p_pLoF_indicator,coef_missense_indicator,p_missense_indicator,coef_constant,p_constant,filename,phenocode,description
KIF13B,2.4879599062624507e-08,-0.127475490485848,0.3332573651003323,-0.0156867113665106,6.546094321178446e-10,0.0961363468484236,0.12232719565473,-0.0033091724606231,0.6945446813454916,0.0219098174768235,0.0107376670515802,30690.unified.tsv.gz,30690,Cholesterol
LCAT,1.04311100589316e-11,-0.5576005388100255,0.2485469606447068,-0.1084844050633907,5.395593017884367e-05,-0.3398006121130551,0.0217728492716705,-0.0965892099045756,4.58644267438116e-12,0.087863143667611,2.417498862234748e-05,30690.unified.tsv.gz,30690,Cholesterol
LDLR,9.72421046381979e-44,-0.0479039828569577,0.8191544694457142,0.2010548351992757,2.0034225357173361e-22,0.7189286324557612,5.454122804787366e-09,0.2290256999843768,4.763631873172692e-41,-0.1708455564991189,8.464923227904764e-25,30690.unified.tsv.gz,30690,Cholesterol
NKPD1,1.582092350036049e-11,1.4657830696796736,2.4866384746296917e-05,0.0772067742201862,5.2562458377508994e-05,-0.022039574904032,0.7393470359038972,-0.0425955733380184,0.0326667775398442,-0.0837311970191265,0.0002202894507383,30690.unified.tsv.gz,30690,Cholesterol
NPC1L1,2.248374056642004e-07,0.7215646932848483,6.262040407137431e-06,-0.0177975327730642,0.1744036974727093,-0.1787733540291877,3.629463649252648e-05,-0.0380284995778141,0.003722394669003,-0.0069195957982865,0.6123424771548716,30690.unified.tsv.gz,30690,Cholesterol
PCSK9,2.5276278284881484e-56,1.511433524772675,0.0001907050644517,-0.1811107732729479,5.567003852410477e-10,-0.8725915875672151,3.0006541774951096e-48,-0.2162754109722731,1.6252926720337793e-23,0.1045571516499608,9.242291008503704e-06,30690.unified.tsv.gz,30690,Cholesterol
PVR,1.2313523945282688e-17,1.4116020664142694,0.0007232446744738,0.375030983778076,2.6900144493470434e-14,-0.0693178036785456,0.4493754816761074,0.2020629045427974,7.200608554129134e-06,-0.3138241656684996,1.0224472784326003e-10,30690.unified.tsv.gz,30690,Cholesterol
SCARB1,2.323659091915787e-11,0.3394239594297886,0.260760860254329,0.0716803006546613,1.3696426987237917e-07,0.3056998866501295,0.000665882736964,0.0894184726700101,1.0080862424599553e-08,-0.067963333017529,1.329666849392288e-05,30690.unified.tsv.gz,30690,Cholesterol
SNX8,4.2795336965685997e-10,-0.364562504647694,0.2820714447289455,0.0804424325404752,3.3778605936435223e-09,0.0874752356756164,0.6133881295833467,0.0542273311197818,3.761076807196065e-07,-0.0425782503254584,0.0127614253368283,30690.unified.tsv.gz,30690,Cholesterol
SYPL2,1.5287216437942222e-09,-3.432971091380364,3.357152263435853e-09,-0.0073769198171336,0.7043644228409529,-0.2525545046374675,0.0409916271748742,0.0018159229335069,0.9618411548006112,0.067150073495713,0.1129294701382706,30690.unified.tsv.gz,30690,Cholesterol
TM6SF2,7.019579244656392e-18,0.7525954005609727,0.2436021052481006,-0.1178694791805656,1.3557440622179399e-09,-0.0067706276194,0.9434418840694704,-0.1398568188193775,1.5631965409692235e-16,0.0916372577643752,2.3736787368220063e-05,30690.unified.tsv.gz,30690,Cholesterol
UGT1A1,2.5575125646655656e-08,-1.478959657276696,4.7528124775867735e-06,-0.0193304076075778,0.005402003240782,-0.1327770230881275,0.0834077146954399,-0.0430402620900178,0.0124944113874052,0.0331434031616517,0.0481378476755128,30690.unified.tsv.gz,30690,Cholesterol
UGT1A1,3.412304877850238e-09,0.7817641916882039,0.0906944371672453,0.1061458507423993,1.3299126550229398e-06,-0.2686588672952303,0.5689256823357137,0.2327059920039334,0.0002366062524482,-0.1145389878921057,0.0505041234972605,25783.unified.tsv.gz,25783,Volume of grey matter in Frontal Pole (right)
LIFR,3.8338307873385324e-08,-2.040812863611817,0.0005672603769826,-0.3906048574624918,0.0105872662758883,-1.290038993474829,8.643118315700165e-05,-0.2876950790618667,0.0027143950338612,0.3409435164879266,0.0014953253639011,25450.unified.tsv.gz,25450,Mean ISOVF in inferior cerebellar peduncle on FA skeleton (right)
PCDHGA10,6.365308870482453e-17,-0.197025004734795,0.6101270925093472,0.3367605300718879,2.8503474909727942e-19,0.078204794275497,0.4166424889563268,0.0710475987590226,0.373790896193401,-0.156600853900424,0.0347323894598183,25450.unified.tsv.gz,25450,Mean ISOVF in inferior cerebellar peduncle on FA skeleton (right)
GCK,5.201048610732442e-35,0.1452636564059231,0.4381945736766189,0.4338706335330813,1.7272947401510839e-16,1.6874333739269245,2.1447893683791262e-16,0.4283012828791908,2.079219162327358e-15,-0.3289824067525004,1.8027215366988504e-16,30740.unified.tsv.gz,30740,Glucose
UGT1A1,1.9227822228698933e-07,-2.450863214984766,6.127159206553267e-09,0.0151980379055409,0.0526340324254632,0.0763257836083847,0.3866606114654383,-0.0053494581826667,0.784858605760834,-0.0096586954165487,0.6148130041333113,30740.unified.tsv.gz,30740,Glucose
ARL15,3.743956853872945e-07,61.84620561631633,4.126671933381717e-06,-1.1191258443596113,4.7229856702870076e-07,0.0,,-0.6251312939902323,0.0004276907465464,0.4087072888854072,0.0045515334883334,25298.unified.tsv.gz,25298,Mean L3 in genu of corpus callosum on FA skeleton
PCDHGA1,9.32632391635068e-13,-18.548816032945613,2.1431204514038915e-05,-0.0803525630301996,0.0531737070039028,-0.028927054793272,0.9306979221138426,-0.0313366618485898,0.4364154563824816,0.2471187112457343,2.8601819467140414e-07,25298.unified.tsv.gz,25298,Mean L3 in genu of corpus callosum on FA skeleton
PCDHGA10,3.741769370890305e-09,-0.0502455091296003,0.8960889717645939,-0.2307045197725597,3.758994160445117e-11,-0.0954690777709344,0.3340883221882662,-0.1139753906315745,0.1623850664178969,0.1359976773030854,0.0707521880734242,25298.unified.tsv.gz,25298,Mean L3 in genu of corpus callosum on FA skeleton
UGT1A1,3.2057572637060356e-09,2.2204867645474606,4.179355123883275e-07,0.0896981880758956,1.5010685652142264e-05,0.4273230624778351,0.4882491259860377,0.0704243035316886,0.2484598412982129,-0.16089183141934,0.0050754362673837,25298.unified.tsv.gz,25298,Mean L3 in genu of corpus callosum on FA skeleton
PCDHA1,3.6507000173140853e-07,1.0171407707299829,0.6025880636861152,-0.0807117610872758,1.2926816026493164e-07,0.0,,0.0487107150882343,0.1857588750010816,-0.0205201264772835,0.5898291547570569,25816.unified.tsv.gz,25816,Volume of grey matter in Superior Parietal Lobule (left)
PCDHGA1,7.960426991553315e-12,14.833763893912742,0.0001048923241988,0.0748071270843882,0.0404477534067984,-0.2781935458867731,0.3411954274672137,0.0212674561804375,0.5415786319747713,-0.2003569380137298,1.573406260401488e-06,25685.unified.tsv.gz,25685,Weighted-mean OD in tract corticospinal tract (left)
UGT1A1,1.051028397945968e-11,-2.462067151516098,1.1822855070222413e-05,-0.1711566975616016,3.2080142456807897e-10,-0.7405435469606367,0.3522254807708952,-0.0304041308883988,0.6954607906012142,0.1432682359707547,0.0489975433392135,25685.unified.tsv.gz,25685,Weighted-mean OD in tract corticospinal tract (left)
PCDHGA10,1.991400239106771e-14,-0.3578188409175858,0.3980094303787105,0.3315905480001915,1.550296197786117e-16,-0.0807506574848123,0.4614294837489168,0.0497830140104605,0.5804804409895894,-0.0711480434837496,0.390758675372817,25672.unified.tsv.gz,25672,Weighted-mean ICVF in tract superior longitudinal fasciculus (right)
PCDHGA1,1.4858862144761952e-14,2.984082359091634,0.3670110351846458,-0.2171408146145149,4.2022854050871375e-11,-0.1588767311681565,0.5340780015857363,-0.0972808395039736,0.0015405751109131,0.10722966006978,0.0029825991647415,25535.unified.tsv.gz,25535,Weighted-mean MD in tract posterior thalamic radiation (right)
ZC3H18,6.12216956933933e-07,2.549140578271226,0.642386822084642,0.5389735098582275,3.813319523965101e-08,0.0,,0.0898665704721269,0.1078575723775965,-0.2463954723034756,0.0055938777899735,25552.unified.tsv.gz,25552,Weighted-mean MO in tract forceps major
PCDHGA10,1.4556176510082327e-09,-0.3178707307625388,0.4804836252378821,-0.2696239305493931,3.813452455812284e-11,0.0856951729241518,0.4518900955913545,-0.114848580323289,0.2233854135639358,0.0872712376067344,0.3148637740272744,25631.unified.tsv.gz,25631,Weighted-mean L3 in tract corticospinal tract (left)
PCDHA10,1.4587478803971849e-12,-16.37725611533715,3.158873175197729e-09,-0.0057103018734218,0.8167577463273459,0.1883541031795751,0.3220312841509657,-0.023332330146813,0.5547638805027376,0.1416515654749349,0.0002845020808534,25911.unified.tsv.gz,25911,Volume of grey matter in VIIIa Cerebellum (right)
LOC101929680,8.696431634988825e-16,-0.0040231428377608,9.443640065390285e-16,-0.1634882495733004,8.696023653279232e-16,0.0,,0.0,,0.1068743940137172,1.63984511904536e-15,100010.unified.tsv.gz,100010,Portion size
PCDHGA10,3.983035633912407e-09,-0.0453423865393955,0.7496433967444229,0.0680245268903893,4.249562241883842e-11,0.006938138925064,0.751967608890139,0.0082038313976872,0.6575152391457536,-0.0219573126593876,0.213761810162194,100010.unified.tsv.gz,100010,Portion size
PHF5A,4.0146972526303196e-07,1.1011925541336354,0.0518930015293427,1.211562116339037,1.1314697223123506e-07,0.0,,-2.098169305605673,9.916956556705589e-08,-0.7946111672841447,1.1348779571299145e-07,100010.unified.tsv.gz,100010,Portion size
PCDHGA10,1.921911738405502e-18,0.5873200844820484,0.1520080753422741,0.3636262386442311,8.365162133622894e-20,0.0284119873703619,0.7839292810630443,0.2479541901437415,0.004302464133673,-0.2927784033763014,0.000286838640506,25285.unified.tsv.gz,25285,Mean L2 in cingulum hippocampus on FA skeleton (left)
UGT1A1,1.1622049778348324e-07,2.3640315923746,8.426008105011404e-05,-0.126042352017099,1.1128509281732775e-05,-0.1539418350738855,0.8568135305330302,-0.1080308433552006,0.196595595037206,-0.0651916308204128,0.4038698395567531,25285.unified.tsv.gz,25285,Mean L2 in cingulum hippocampus on FA skeleton (left)
PCDHGA10,5.4779946798632844e-17,-0.0620450272714989,0.87696071528149,0.348768413066939,3.607660003310975e-19,-0.0707206120928144,0.4938382959708358,0.0929863095918946,0.2749445222875776,-0.0960260316364102,0.2206580860670255,25369.unified.tsv.gz,25369,Mean ICVF in superior corona radiata on FA skeleton (left)
UGT1A1,5.664796096897623e-07,-3.184503569653822,3.041296734521551e-08,-0.0148018657606029,0.5777444214242791,-0.61908513722239,0.4412416780844296,-0.1197276851915466,0.1342605262096512,0.1070362426398177,0.1526082903907046,25369.unified.tsv.gz,25369,Mean ICVF in superior corona radiata on FA skeleton (left)
PCDHGA1,1.135921371582077e-20,2.840182406825194,0.2751229793911804,-0.2072060893707953,3.1052896110126683e-15,0.2952179582216099,0.1423516850747554,-0.0722339182835814,0.0028513919196304,0.0767088896012771,0.0069718898979082,25445.unified.tsv.gz,25445,Mean ISOVF in fornix on FA skeleton
PCDHGA10,2.701177218618804e-13,0.12937300718885,0.7157388067916812,-0.2625976991458695,3.316017065824907e-15,-0.0142655761511172,0.8742653207904267,-0.1397080912488589,0.0622146626994847,0.1542111611464716,0.0258297062099137,25445.unified.tsv.gz,25445,Mean ISOVF in fornix on FA skeleton
PCDHGA1,5.99981216306103e-09,2.126598322979381,0.5585272451511379,0.1523588744516407,1.756119166173733e-05,0.3339575430291684,0.2348240165708086,0.039679635643456,0.2389488152687139,-0.0943487200044061,0.0175552834823011,25187.unified.tsv.gz,25187,Mean MO in cingulum cingulate gyrus on FA skeleton (left)
LOC101929680,3.2684744305479077e-15,0.0262358181012662,3.2949861845152097e-15,0.989586413232649,3.2684589622671117e-15,0.0,,0.0,,-1.1593075661566077,3.4392799014080404e-15,100024.unified.tsv.gz,100024,Calcium
UGT1A1,3.5229126562683856e-16,47.02079048159016,1.9207670721796837e-18,-0.0716765594545126,0.0034646189432719,-0.4152457718126148,0.102217183822655,-0.0170597653286086,0.7632838472059508,-0.4248786292232059,9.71248006544846e-09,100024.unified.tsv.gz,100024,Calcium
PCDHGA10,2.642570601878e-10,0.0481054076947425,0.913097961741532,0.2792569540455147,4.122553440097918e-12,-0.1920169444296632,0.0880288134262248,-0.0666247545965189,0.4716106934140176,-0.044106108908235,0.6046951992020634,25691.unified.tsv.gz,25691,Weighted-mean OD in tract inferior longitudinal fasciculus (left)
AC007375.2,5.026231950308638e-07,-39.16590461513699,2.3831402429583214e-06,-0.0661258093701512,0.1377796825177379,0.0,,1.1583421245695549,1.3769378947546473e-07,-0.6374837846198812,1.3452331380033703e-05,25242.unified.tsv.gz,25242,Mean L1 in superior fronto-occipital fasciculus on FA skeleton (right)
PCDHA1,5.636633200945819e-16,-15.817629104984398,8.128925475432466e-15,0.0009388007245953,0.9467246728067156,0.0,,0.1349526256700638,0.0001495348900709,0.0806864403768742,0.0271412343027971,25242.unified.tsv.gz,25242,Mean L1 in superior fronto-occipital fasciculus on FA skeleton (right)
PCDHA10,2.5147490390682454e-07,13.72787629823896,2.242142770810241e-06,0.03506515918213,0.1830423312231705,0.1106384108482362,0.5797422432097041,-0.0631085987942666,0.135305712927567,-0.1881236353848924,7.466899798594716e-06,25242.unified.tsv.gz,25242,Mean L1 in superior fronto-occipital fasciculus on FA skeleton (right)
PCDHGA1,3.7425681501221905e-15,0.4726935096608017,0.8939856785434579,-0.2221380049434057,2.8149769985590607e-10,0.0376297198887204,0.890800103659207,-0.049784096026305,0.1251825349691307,0.0779320087818702,0.0421437713029076,25242.unified.tsv.gz,25242,Mean L1 in superior fronto-occipital fasciculus on FA skeleton (right)
PCDHGA10,2.035468329531498e-12,-0.021350313700824,0.9558958156158764,-0.2704052285189205,4.5547892456859415e-14,0.0656170426476334,0.4981714324601539,-0.1270754989391694,0.1145286613530516,0.170203609123691,0.0225064018991994,25242.unified.tsv.gz,25242,Mean L1 in superior fronto-occipital fasciculus on FA skeleton (right)
PCDHA1,2.7858398027128984e-10,-13.865417066114963,6.314916953140582e-11,-0.0314962936703817,0.0354101465456694,0.0,,-0.0278315531270816,0.4520657681665394,0.1861260499448498,2.7248746795248035e-06,25585.unified.tsv.gz,25585,Weighted-mean L1 in tract middle cerebellar peduncle
PCDHA10,8.803217222982745e-08,11.824469327277129,2.0426332615867938e-05,0.0283052435237313,0.2633062852253657,-0.4133350522089785,0.0336769871288525,-0.0206503036053576,0.6104355266315402,-0.1094960986183275,0.0058235557066763,25585.unified.tsv.gz,25585,Weighted-mean L1 in tract middle cerebellar peduncle
PCDHGA1,4.689960899033502e-15,16.74455391568329,4.586641955433951e-07,-0.2698498003650343,3.007203152326213e-16,-0.5837690875882355,0.0208426523588869,-0.1119489257157247,0.0001778451891179,-0.050561476574034,0.1482427654712754,25585.unified.tsv.gz,25585,Weighted-mean L1 in tract middle cerebellar peduncle
PCDHA1,1.2213980730618068e-09,10.127841906230984,9.918690962769846e-08,-0.0329168376894743,0.0188947921113767,0.0,,0.0664654309337822,0.0560682429579385,-0.1390456573138442,0.0001392773089845,25020.unified.tsv.gz,25020,Volume of hippocampus (right)
SARS2,4.791210426897134e-07,-5.50506920167162,0.0189351403126878,0.8414254918711531,4.714636622940522e-07,0.0,,0.3740761702481602,0.0945513848412039,-0.3616345235834942,0.1160397626472622,25020.unified.tsv.gz,25020,Volume of hippocampus (right)
PCDHA1,1.9629928545312104e-10,13.870431692983376,5.936102138958773e-11,-0.0076402296774249,0.6202091457220653,0.0,,-0.018234258272916,0.6336923378932247,-0.1210975194701729,0.0024635553563838,25371.unified.tsv.gz,25371,Mean ICVF in posterior corona radiata on FA skeleton (left)
PCDHGA10,7.300724416712068e-08,-0.1459585080960982,0.7060547788458611,0.2055369902336387,2.6771431679607342e-09,-0.1759606892135654,0.0785862411180201,-0.0241948629581799,0.7677509401125838,0.0495064699363159,0.511639053723439,25371.unified.tsv.gz,25371,Mean ICVF in posterior corona radiata on FA skeleton (left)
PCDHA11,5.4497594555783045e-09,0.5453638592905524,0.3044007089290671,0.6215432216540294,2.672206399437244e-10,0.0,,0.1099115269178476,0.0143622792112442,-0.3516353816800659,3.89670524113462e-08,25554.unified.tsv.gz,25554,Weighted-mean MO in tract inferior fronto-occipital fasciculus (left)
PCDHGA1,8.749442162257343e-08,-4.207415970115238,0.1933293815194504,0.1446606248005157,4.700797315642569e-06,-0.8305654922440633,0.0009674827222873,0.0492933772949471,0.0973020983598321,-0.0378908426259709,0.2786652953202728,25554.unified.tsv.gz,25554,Weighted-mean MO in tract inferior fronto-occipital fasciculus (left)
PCDHGA10,2.3485353977599756e-11,-0.3304627976710351,0.3803237817235554,-0.2396507983310556,3.219446697196195e-12,-0.2746376660515782,0.0044420238537311,-0.2168860576520321,0.0064997315132134,0.261837299377362,0.0004101330051633,25474.unified.tsv.gz,25474,Mean ISOVF in cingulum cingulate gyrus on FA skeleton (right)
BLVRB,2.5004477373784605e-08,-0.4545937974725103,0.4684507796763915,0.034621243468583,1.4920006091060978e-08,-0.0672140740522514,0.4381107549144488,0.0282465678695122,0.0376186333641155,-0.0358672011200385,0.007563939554074,30840.unified.tsv.gz,30840,Total bilirubin
EPO,3.320698070341499e-07,0.1682398423906813,0.28986405589127,-0.2727181844145502,9.900394217410321e-08,-0.0131948707282723,0.9246077702235118,-0.1714136814546105,1.5703663290990557e-08,0.1728339980558687,9.313646837066462e-06,30840.unified.tsv.gz,30840,Total bilirubin
PIEZO1,1.4764834794164533e-21,-0.8039292882228795,0.0100005924827184,0.0297507959474145,1.0275085808189495e-16,-0.0113577054293351,0.7121077743851376,0.0308064442116644,1.0157126222682667e-10,-0.0174501011814076,0.0008666674442331,30840.unified.tsv.gz,30840,Total bilirubin
RHAG,2.4769283724969124e-10,0.0006641994382416,0.9979263111389388,0.2439913984371683,4.0350967967683685e-06,0.5127693989251836,4.6208321320052794e-08,0.1589512643709652,2.7304940448526114e-06,-0.1767730827559094,5.597789990507164e-06,30840.unified.tsv.gz,30840,Total bilirubin
SAG,1.6647561853363484e-15,-2.75558851595206,2.977264528647312e-09,0.0384068005025355,0.4040360512820113,-0.2033045922001085,0.1500380689980912,0.1164850752543421,0.0001049776772832,-0.01476562227365,0.6853225329377688,30840.unified.tsv.gz,30840,Total bilirubin
SH2B3,6.491812687072723e-12,-0.4393288891782527,0.1093111212250493,0.0701615167758691,3.8383065095249175e-11,0.2140950239447913,0.0099216292607932,0.0415242378200478,0.1333754952407101,-0.0647283757043065,0.0203036500238806,30840.unified.tsv.gz,30840,Total bilirubin
SLC4A1,1.3954076080074342e-23,0.4619439035203191,0.0872924806984592,0.0974378722932032,2.927339385960375e-06,1.777702904072974,4.315340212827059e-21,0.0645879300820943,7.651975452959927e-06,-0.0736864478323917,2.7683863603859515e-06,30840.unified.tsv.gz,30840,Total bilirubin
SLCO1B1,2.708973515005148e-09,2.6579221730689677,0.001565308708594,0.105904908130662,5.416064533582656e-05,0.3036495607154156,2.971725797926047e-05,0.1346226112905889,0.0021401237188369,-0.0737459190354986,0.1080805240660482,30840.unified.tsv.gz,30840,Total bilirubin
SLCO1B3,2.825207853430826e-23,0.8426716156829377,0.1112869855865312,0.1372308298551285,1.1560095889134977e-11,0.2829076618687334,4.156842182289609e-17,0.1201242841385902,9.704970285226262e-07,0.0262494973800741,0.3388703591180886,30840.unified.tsv.gz,30840,Total bilirubin
TRPM8,3.981249590021496e-33,-0.1151753792433695,0.6578699664193419,-0.0674958184591437,8.0715698232097e-05,0.0337770669508288,0.6753386011732634,0.1794888441503522,5.323635971708643e-23,-0.0492903416919834,0.0121665911716394,30840.unified.tsv.gz,30840,Total bilirubin
UGT1A1,2.4733808715650543e-67,-1.610092888611525,0.0144168307846742,0.2222505389004425,6.2157655355937466e-40,1.1478516382001906,5.358379501900448e-11,0.5085621018853839,9.433795671359204e-31,-0.2168940730088415,1.8435684906778045e-07,30840.unified.tsv.gz,30840,Total bilirubin
UGT1A7,6.738448462224182e-20,-0.8445616400295115,0.5522271646500599,-0.2552733924813832,6.843257166367062e-19,-0.0848811334863107,0.4799442854478172,0.1807885394687119,0.0024147589201193,0.2251690392339953,0.0003350718798991,30840.unified.tsv.gz,30840,Total bilirubin
PCDHA1,6.801483281339166e-09,14.104096769219426,5.9031045121240295e-09,-0.0183156602694749,0.2947267493930941,0.0,,-0.0209810121288575,0.6285210255219074,-0.1164546404264772,0.0103129380102248,25704.unified.tsv.gz,25704,Weighted-mean ISOVF in tract acoustic radiation (left)
UGT1A1,1.832559995731313e-08,-4.667942364613697,1.538679463073703e-09,0.0217525907461264,0.5413708169107629,-0.0043530236516064,0.9967765425293555,-0.2044627688880951,0.0521056060383854,0.2042015169618405,0.0378296938023817,25704.unified.tsv.gz,25704,Weighted-mean ISOVF in tract acoustic radiation (left)
PCDHGA1,6.04830893639951e-17,-2.6915210206526456,0.4175548073038337,0.2340201101989847,1.4118339034891513e-12,-0.0216318048091729,0.9289521815702624,0.0446648361178728,0.1390146235987105,-0.0751921516559981,0.036091629819491,25891.unified.tsv.gz,25891,Volume of grey matter in Ventral Striatum (right)
PCDHGA10,5.131419775514675e-09,0.5031751493181296,0.1635259139848332,-0.2021612601386023,1.0243623146270046e-10,-0.0432158052932072,0.6144130848794138,-0.0165299531008337,0.8158085568919994,0.0964434347292661,0.1438721049841268,25891.unified.tsv.gz,25891,Volume of grey matter in Ventral Striatum (right)
CCDC171,2.9091396942628943e-08,0.1336887596994424,0.4419474580334719,-0.0309527900122905,3.6914363242947534e-05,0.0051950884317827,0.8274758931132298,0.0044433451238659,0.4330095402028359,-0.0055314942722249,0.5087921307755919,23099.unified.tsv.gz,23099,Body fat percentage
MC4R,4.5085935484305556e-12,1.0553691083451,0.2057442105927197,0.1167034097717427,1.6278216940192363e-10,0.273715851538153,0.0007684842904458,0.0313103558110886,0.3625469290649832,-0.0931273519653503,0.009926694951559,23099.unified.tsv.gz,23099,Body fat percentage
PPARG,3.448843822186029e-11,-0.6511994411737587,0.0297411249239337,-0.1038936952283155,7.9804514028481e-06,-0.3834946206716003,0.0289418495560153,-0.1420950899783913,2.865611532318634e-07,0.0929086702221413,2.201970864999016e-06,23099.unified.tsv.gz,23099,Body fat percentage
PCDHGA10,1.312215328254122e-08,0.4930697550994503,0.2009145377984618,-0.2200246947916651,2.0772564173230726e-10,0.0191017236320672,0.8449554210765691,-0.0413935315315031,0.6079306918545493,0.0541690207360042,0.466232732143897,25264.unified.tsv.gz,25264,Mean L2 in anterior limb of internal capsule on FA skeleton (right)
PCDHGA1,2.424044549272349e-29,-0.0065139583133842,0.9614932586235012,0.0538843696815005,2.155664536915339e-31,-0.0038973225387866,0.939575348777069,0.025711535153183,1.822630635382752e-05,-0.0381320836776353,2.270889176207044e-10,3064.unified.tsv.gz,3064,Peak expiratory flow (PEF)
PCDHGA10,8.475927344860537e-12,-0.3378017045861062,0.4025237095845567,-0.2767092811508106,1.2220903271136317e-13,0.1469698368873429,0.154200381804248,-0.0164736845894208,0.8459588871910118,0.0483689287809015,0.5358209728587908,25193.unified.tsv.gz,25193,Mean MO in superior longitudinal fasciculus on FA skeleton (left)
PCDHGA10,1.7919513873999037e-18,-0.4932576820032504,0.1815291838198609,0.3342663645404432,2.4330700141786047e-20,-0.0763583671856596,0.4214390570617723,0.0906628373949981,0.2466554133665456,-0.0825966159853102,0.2512635297268787,25375.unified.tsv.gz,25375,Mean ICVF in sagittal stratum on FA skeleton (left)
CCL25,1.1103858600756312e-08,36.64135425127959,0.0006731489137612,1.2022314487566106,2.1185493777830368e-07,0.3886098543793212,0.0600600161785295,0.8721734455693103,3.1921646347102735e-07,-1.3605715968362286,1.0864025469486375e-09,25908.unified.tsv.gz,25908,Volume of grey matter in VIIb Cerebellum (right)
PCDHA1,5.74004916771558e-08,10.570599049115089,1.695537672837215e-06,-0.0348296024008638,0.03166223616609,0.0,,-0.0365439750153336,0.360838411711501,-0.0550940030411854,0.1851188562636913,25034.unified.tsv.gz,25034,Median T2star in hippocampus (left)
AL662899.2,2.279285782032621e-08,-3.9795900187190414,6.946443939556268e-07,0.0216893119081187,0.6053153296300058,0.2096219949911948,0.0145864993412466,0.0267470133478637,0.379079556785564,0.0461920811643777,0.1924953818564529,30650.unified.tsv.gz,30650,Aspartate aminotransferase
APOH,2.326523679027585e-12,0.1618277685991056,0.6558102398991283,0.0192614196654481,2.926343594565287e-13,0.0682524086819185,0.327011491988338,0.0125940164800705,0.1941713969449501,-0.0153175404155306,0.1085852935108601,30650.unified.tsv.gz,30650,Aspartate aminotransferase
FUT6,5.974693766712956e-15,-0.5628126640518731,0.3912904516541409,-0.0222555067091404,5.1994031941823096e-12,-0.0364071438164658,0.1334640074891857,-0.0151660926195294,0.0123593339859218,0.0259340947063493,0.0016450291001381,30650.unified.tsv.gz,30650,Aspartate aminotransferase
